2026-06-19 15:17:15 | INFO     | seed                      | Added product: TBAMET28
2026-06-19 15:17:15 | INFO     | seed                      | Added product: TBOPAL28
2026-06-19 15:17:15 | INFO     | seed                      | Added product: HARNIG
2026-06-19 15:17:15 | INFO     | seed                      | Added product: LELCBD100
2026-06-19 15:17:15 | INFO     | seed                      | Added product: AURPUR10
2026-06-19 15:17:15 | INFO     | seed                      | Added product: HALGEO15
2026-06-19 15:17:15 | INFO     | seed                      | Added product: MCMW10
2026-06-19 15:17:15 | INFO     | seed                      | Added product: MCBO30
2026-06-19 15:17:15 | INFO     | seed                      | Created order: PO-20251130-00072 (5 items)
2026-06-19 15:17:15 | INFO     | seed                      | Created order: PO-20251203-00046 (4 items)
2026-06-19 15:17:15 | INFO     | seed                      | === Seed complete ===
2026-06-19 15:24:01 | INFO     | main                      | Starting application — initialising database
